[17:36:24] [info] VIOLET: Creating window Violet Engine (1200, 800)
[17:36:26] [info] VIOLET: OpenGL Info: 
[17:36:26] [info] VIOLET:  Vendor: NVIDIA Corporation 
[17:36:26] [info] VIOLET:  Renderer : NVIDIA GeForce GTX 1650/PCIe/SSE2 
[17:36:26] [info] VIOLET:  Version: 4.6.0 NVIDIA 512.59 
[17:36:28] [trace] APP: FPS: 58.9526 (0.0169628 / ms) 
[17:36:28] [trace] APP: FPS: 64.9887 (0.0153873 / ms) 
[17:36:28] [trace] APP: FPS: 59.406 (0.0168333 / ms) 
[17:36:28] [trace] APP: FPS: 63.2148 (0.0158191 / ms) 
[17:36:28] [trace] APP: FPS: 58.7421 (0.0170236 / ms) 
[17:36:29] [trace] APP: FPS: 1.57874 (0.633415 / ms) 
[17:36:29] [trace] APP: FPS: 58.7454 (0.0170226 / ms) 
[17:36:29] [trace] APP: FPS: 55.539 (0.0180054 / ms) 
[17:36:29] [trace] APP: FPS: 62.6633 (0.0159583 / ms) 
[17:36:29] [trace] APP: FPS: 59.7411 (0.0167389 / ms) 
[17:36:29] [trace] APP: FPS: 57.966 (0.0172515 / ms) 
[17:36:29] [trace] APP: FPS: 62.9152 (0.0158944 / ms) 
[17:36:29] [trace] APP: FPS: 61.6882 (0.0162106 / ms) 
[17:36:29] [trace] APP: FPS: 53.7194 (0.0186152 / ms) 
[17:36:29] [trace] APP: FPS: 63.9649 (0.0156336 / ms) 
[17:36:29] [trace] APP: FPS: 62.291 (0.0160537 / ms) 
[17:36:29] [trace] APP: FPS: 59.6104 (0.0167756 / ms) 
[17:36:29] [trace] APP: FPS: 61.7681 (0.0161896 / ms) 
[17:36:29] [trace] APP: FPS: 60.7026 (0.0164738 / ms) 
[17:36:29] [trace] APP: FPS: 59.546 (0.0167937 / ms) 
[17:36:29] [trace] APP: FPS: 61.7463 (0.0161953 / ms) 
[17:36:29] [trace] APP: FPS: 60.5746 (0.0165086 / ms) 
[17:36:29] [trace] APP: FPS: 60.4855 (0.0165329 / ms) 
[17:36:29] [trace] APP: FPS: 55.8332 (0.0179105 / ms) 
[17:36:29] [trace] APP: FPS: 63.7103 (0.015696 / ms) 
[17:36:29] [trace] APP: FPS: 59.1447 (0.0169077 / ms) 
[17:36:29] [trace] APP: FPS: 59.153 (0.0169053 / ms) 
[17:36:29] [trace] APP: FPS: 61.322 (0.0163074 / ms) 
[17:36:29] [trace] APP: FPS: 59.7037 (0.0167494 / ms) 
[17:36:29] [trace] APP: FPS: 57.1307 (0.0175037 / ms) 
[17:36:29] [trace] APP: FPS: 63.1939 (0.0158243 / ms) 
[17:36:29] [trace] APP: FPS: 58.4425 (0.0171108 / ms) 
[17:36:29] [trace] APP: FPS: 61.9104 (0.0161524 / ms) 
[17:36:29] [trace] APP: FPS: 58.3693 (0.0171323 / ms) 
[17:36:29] [trace] APP: FPS: 63.404 (0.0157719 / ms) 
[17:36:29] [trace] APP: FPS: 57.8014 (0.0173006 / ms) 
[17:36:29] [trace] APP: FPS: 61.7536 (0.0161934 / ms) 
[17:36:29] [trace] APP: FPS: 57.3039 (0.0174508 / ms) 
[17:36:29] [trace] APP: FPS: 61.4496 (0.0162735 / ms) 
[17:36:29] [trace] APP: FPS: 60.0989 (0.0166392 / ms) 
[17:36:29] [trace] APP: FPS: 57.9756 (0.0172486 / ms) 
[17:36:29] [trace] APP: FPS: 60.7571 (0.016459 / ms) 
[17:36:29] [trace] APP: FPS: 63.0855 (0.0158515 / ms) 
[17:36:29] [trace] APP: FPS: 58.8823 (0.016983 / ms) 
[17:36:29] [trace] APP: FPS: 57.9564 (0.0172544 / ms) 
[17:36:29] [trace] APP: FPS: 58.7734 (0.0170145 / ms) 
[17:36:29] [trace] APP: FPS: 62.7589 (0.015934 / ms) 
[17:36:29] [trace] APP: FPS: 62.1194 (0.016098 / ms) 
[17:36:29] [trace] APP: FPS: 57.2664 (0.0174623 / ms) 
[17:36:29] [trace] APP: FPS: 45.5635 (0.0219474 / ms) 
[17:36:29] [trace] APP: FPS: 65.1269 (0.0153546 / ms) 
[17:36:29] [trace] APP: FPS: 74.2644 (0.0134654 / ms) 
[17:36:29] [trace] APP: FPS: 55.3251 (0.018075 / ms) 
[17:36:29] [trace] APP: FPS: 65.3115 (0.0153112 / ms) 
[17:36:29] [trace] APP: FPS: 56.7089 (0.0176339 / ms) 
[17:36:29] [trace] APP: FPS: 58.6436 (0.0170522 / ms) 
[17:36:29] [trace] APP: FPS: 61.1718 (0.0163474 / ms) 
[17:36:29] [trace] APP: FPS: 62.5381 (0.0159903 / ms) 
[17:36:29] [trace] APP: FPS: 55.7635 (0.0179329 / ms) 
[17:36:29] [trace] APP: FPS: 61.8118 (0.0161781 / ms) 
[17:36:29] [trace] APP: FPS: 63.4098 (0.0157704 / ms) 
[17:36:30] [trace] APP: FPS: 60.3306 (0.0165753 / ms) 
[17:36:30] [trace] APP: FPS: 59.5934 (0.0167804 / ms) 
[17:36:30] [trace] APP: FPS: 61.2057 (0.0163383 / ms) 
[17:36:30] [trace] APP: FPS: 60.2855 (0.0165877 / ms) 
[17:36:30] [trace] APP: FPS: 55.2216 (0.0181088 / ms) 
[17:36:30] [trace] APP: FPS: 63.7355 (0.0156898 / ms) 
[17:36:30] [trace] APP: FPS: 61.6248 (0.0162272 / ms) 
[17:36:30] [trace] APP: FPS: 55.8422 (0.0179076 / ms) 
[17:36:30] [trace] APP: FPS: 62.147 (0.0160909 / ms) 
[17:36:30] [trace] APP: FPS: 60.6253 (0.0164948 / ms) 
[17:36:30] [trace] APP: FPS: 62.3225 (0.0160456 / ms) 
[17:36:30] [trace] APP: FPS: 60.1403 (0.0166278 / ms) 
[17:36:30] [trace] APP: FPS: 60.0164 (0.0166621 / ms) 
[17:36:30] [trace] APP: FPS: 61.0063 (0.0163918 / ms) 
[17:36:30] [trace] APP: FPS: 64.9032 (0.0154076 / ms) 
[17:36:30] [trace] APP: FPS: 60.1282 (0.0166311 / ms) 
[17:36:30] [trace] APP: FPS: 60.4262 (0.0165491 / ms) 
[17:36:30] [trace] APP: FPS: 56.1592 (0.0178065 / ms) 
[17:36:30] [trace] APP: FPS: 63.475 (0.0157542 / ms) 
[17:36:30] [trace] APP: FPS: 57.4248 (0.0174141 / ms) 
[17:36:30] [trace] APP: FPS: 61.9964 (0.01613 / ms) 
[17:36:30] [trace] APP: FPS: 59.5934 (0.0167804 / ms) 
[17:36:30] [trace] APP: FPS: 58.3109 (0.0171494 / ms) 
[17:36:30] [trace] APP: FPS: 61.088 (0.0163698 / ms) 
[17:36:30] [trace] APP: FPS: 60.9 (0.0164204 / ms) 
[17:36:30] [trace] APP: FPS: 58.2348 (0.0171719 / ms) 
[17:36:30] [trace] APP: FPS: 61.0738 (0.0163736 / ms) 
[17:36:30] [trace] APP: FPS: 60.8735 (0.0164275 / ms) 
[17:36:30] [trace] APP: FPS: 59.1814 (0.0168972 / ms) 
[17:36:30] [trace] APP: FPS: 62.5194 (0.015995 / ms) 
[17:36:30] [trace] APP: FPS: 59.9186 (0.0166893 / ms) 
[17:36:30] [trace] APP: FPS: 59.8178 (0.0167174 / ms) 
[17:36:30] [trace] APP: FPS: 60.6709 (0.0164824 / ms) 
[17:36:30] [trace] APP: FPS: 60.3966 (0.0165572 / ms) 
[17:36:30] [trace] APP: FPS: 56.5728 (0.0176764 / ms) 
[17:36:30] [trace] APP: FPS: 62.5847 (0.0159783 / ms) 
[17:36:30] [trace] APP: FPS: 59.3707 (0.0168433 / ms) 
[17:36:30] [trace] APP: FPS: 59.4094 (0.0168324 / ms) 
[17:36:30] [trace] APP: FPS: 59.2299 (0.0168834 / ms) 
[17:36:30] [trace] APP: FPS: 59.2198 (0.0168862 / ms) 
[17:36:30] [trace] APP: FPS: 54.2685 (0.0184269 / ms) 
[17:36:30] [trace] APP: FPS: 67.3438 (0.0148492 / ms) 
[17:36:30] [trace] APP: FPS: 59.0232 (0.0169425 / ms) 
[17:36:30] [trace] APP: FPS: 64.1272 (0.015594 / ms) 
[17:36:30] [trace] APP: FPS: 55.1926 (0.0181184 / ms) 
[17:36:30] [trace] APP: FPS: 65.9523 (0.0151625 / ms) 
[17:36:30] [trace] APP: FPS: 55.2129 (0.0181117 / ms) 
[17:36:30] [trace] APP: FPS: 64.0665 (0.0156088 / ms) 
[17:36:30] [trace] APP: FPS: 54.8548 (0.01823 / ms) 
[17:36:30] [trace] APP: FPS: 62.9152 (0.0158944 / ms) 
[17:36:30] [trace] APP: FPS: 57.4988 (0.0173917 / ms) 
[17:36:30] [trace] APP: FPS: 64.2943 (0.0155535 / ms) 
[17:36:30] [trace] APP: FPS: 54.9784 (0.018189 / ms) 
[17:36:30] [trace] APP: FPS: 66.4497 (0.015049 / ms) 
